Guobiao Radical Index,Radical,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,一,一,二丁七,三亍于亏才下丈与万,丰亓开井天夫元云专丐廿五帀丏卅不屯互,未末戋正世本𠕂𠕅丙丕灭东丛丝,亚亘吏再亙百夹夷丞,严求甫更束两丽尨来,奉表亞東画事兩枣靣亟,奏甚柬歪甭昼,彧哥,焉堇,棗棘奡皕,,叆爾,叇,,,,,,,囊,
2,丨,,,,,,,,,,,,,,,,,,,,,,,
3,丿,,,,,,,,,,,,,,,,,,,,,,,
4,丶,,,,,,,,,,,,,,,,,,,,,,,
5,乛𠃌⺄乚乙,,,,,,,,,,,,,,,,,,,,,,,
6,十,,,,,,,,,,,,,,,,,,,,,,,
7,厂,,,,,,,,,,,,,,,,,,,,,,,
7.1,⺁,,,,,,,,,,,,,,,,,,,,,,,
8,匚,,,,,,,,,,,,,,,,,,,,,,,
9,卜,,,,,,,,,,,,,,,,,,,,,,,
9.1,⺊,,上,,卡占卢,尗贞,芈卣,卓,𫧯,桌卨,禼,,,,,,,,,,,,,
10,冂,,,,,,,,,,,,,,,,,,,,,,,
10.1,⺆,,,,用甩,,,周,,,,,,,,,,,,,,,,
11,八,,,,,,,,,,,,,,,,,,,,,,,
11.1,丷,,,,,,,,,,,,,,,,,,,,,,,
12,人,,,,,,,,,,,,,,,,,,,,,,,
12.1,亻,,,,,,,,,,,,,,,,,,,,,,,
12.2,入,入,,,,汆,,籴,,,,,,,,,,,,,,糴,,
13,勹,,,,,,,,,,,,,,,,,,,,,,,
14,儿,,,,,,,,,,,,,,,,,,,,,,,
15,匕,,,,,,,,,,,,,,,,,,,,,,,
16,几,,,,,,,,,,,,,,,,,,,,,,,
16.1,⺇,,,凤,,夙,,,,,凰,,,鳳,,,,,,,,,,
17,亠,,,,,,,,,,,,,,,,,,,,,,,
18,冫,,,,,,,,,,,,,,,,,,,,,,,
19,冖,,,,,,,,,,,,,,,,,,,,,,,
20,凵,,,,,,,,,,,,,,,,,,,,,,,
21,卩,,,,,,,,,,,,,,,,,,,,,,,
21.1,㔾,,,,,,,,,,,,,,,,,,,,,,,
22,刀,,,,,,,,,,,,,,,,,,,,,,,
22.1,刂,,,,,,,,,,,,,,,,,,,,,,,
22.2,⺈,,,,,,,,,,,,,,,,,,,,,,,
23,力,,,,,,,,,,,,,,,,,,,,,,,
24,又,,,,,,,,,,,,,,,,,,,,,,,
25,厶,,,,,,,,,,,,,,,,,,,,,,,
26,廴,,,,,,,,,,,,,,,,,,,,,,,
27,干,,,,,,,,,,,,,,,,,,,,,,,
28,工,,,,,,,,,,,,,,,,,,,,,,,
29,土,,,,,,,,,,,,,,,,,,,,,,,
29.1,士,,,,,,,,,,,,,,,,,,,,,,,
30,艹,,,,,,,,,,,,,,,,,,,,,,,
30.1,艸,艸,,,,,,,,,,,,,,,,,,,,,,
31,寸,,,,,,,,,,,,,,,,,,,,,,,
32,廾,,,,,弃,弆,弈,,,,,弊,,,,,,,,,,,
33,大,,,,,,,,,,,,,,,,,,,,,,,
34,尢,,,,,,,,,,,,,,,,,,,,,,,
34.1,兀,,,,,,,,,,,,,,,,,,,,,,,
34.2,尣,,,,,,,,,,,,,,,,,,,,,,,
35,弋,,,,,,,,,,,,,,,,,,,,,,,
36,小,,,,,,,,,,,,,,,,,,,,,,,
36.1,⺌,,,,,,,,,,,,,,,,,,,,,,,
37,口,,,,,,,,,,,,,,,,,,,,,,,
38,囗,〇,,,,,,,,,,,,,,,,,,,,,,
39,山,,,,,,,,,,,,,,,,,,,,,,,
40,巾,,,,,,,,,,,,,,,,,,,,,,,
41,彳,,,,,,,,,,,,,,,,,,,,,,,
42,彡,,,,,,,,,,,,,,,,,,,,,,,
43,夕,,,,,,,,,,,,,,,,,,,,,,,
44,夂,,,,,,,,,,,,,,,,,,,,,,,
45,丬,,,,,,,,,,,,,,,,,,,,,,,
45.1,爿,,,,,,,,,,,,,,,,,,,,,,,
46,广,,,,,,,,,,,,,,,,,,,,,,,
47,门,,,,,,,,,,,,,,,,,,,,,,,
47.1,門,,,,,,,,,,,,,,,,,,,,,,,
48,宀,,,,,,,,,,,,,,,,,,,,,,,
49,辶,,,,,,,,,,,,,,,,,,,,,,,
50,彐,,,归,寻,灵,帚,,,彗,尋𡬶,,,,,,,彟,,,,,,彠
50.1,,,,,,,录,,,,,,,,,,,,,,,,,
50.2,彑,,,,,,,彖,,,彘,彙,,,彜,,彝,,,,,,,
51,尸,,,,,,,,,,,,,,,,,,,,,,,
52,己,,,,,,,,,,,,,,,,,,,,,,,
52.1,已,,,,,,,,,,,,,,,,,,,,,,,
52.2,巳,,,,,,,,,,,,,,,,,,,,,,,
53,弓,,,,,,,,,,,,,,,,,,,,,,,
54,子,,,,,,,,,,,,,,,,,,,,,,,
55,屮,,,,,,,,,,,,,,,,,,,,,,,
55.1,,,,,,,,,,,,,,,,,,,,,,,,
56,女,,,,,,,,,,,,,,,,,,,,,,,
57,飞,飞,,,,,,,,,,,,,,,,,,,,,,
57.1,飛,飛,,,,,,,,,,,,飜,,,,,,,,,,
58,马,,,,,,,,,,,,,,,,,,,,,,,
58.1,馬,,,,,,,,,,,,,,,,,,,,,,,
59,幺,,,,,,,,,,,,,,,,,,,,,,,
60,巛,,,,,災,甾,,邕,巢,,,,,,,,,,,,,,
61,王,,,,,,,,,,,,,,,,,,,,,,,
61.1,玉,,,,,,,,,,,,,,,,,,,,,,,
62,无,无,,,,,,,,,,,,,,,,,,,,,,
62.1,旡,,,,,炁,既,,,旤,,暨,,,,,,,,,,蠶,,
63,韦,,,,,,,,,,,,,,,,,,,,,,,
63.1,韋,,,,,,,,,,,,,,,,,,,,,,,
64,木,,,,,,,,,,,,,,,,,,,,,,,
64.1,朩,,,,,,,,,,,,,,,,,,,,,,,
65,支,,,,,,,,,,,,,,,,,,,,,,,
66,犬,,,,,,,,,,,,,,,,,,,,,,,
66.1,犭,,,,,,,,,,,,,,,,,,,,,,,
67,歹,,,,,,,,,,,,,,,,,,,,,,,
67.1,歺,,,,,,,,,,,,,,,,,,,,,,,
68,车,,,,,,,,,,,,,,,,,,,,,,,
68.1,,,,,,,,,,,,,,,,,,,,,,,,
68.2,車,,,,,,,,,,,,,,,,,,,,,,,
69,牙,,,,,,,,,,,,,,,,,,,,,,,
70,戈,,,,,,,,,,,,,,,,,,,,,,,
71,比,,,,,,,,,,,,,,,,,,,,,,,
72,瓦,,,,,,,,,,,,,,,,,,,,,,,
73,止,,,,,,,,,,,,,,,,,,,,,,,
74,攴,,,,,,,,,,,,,,,,,,,,,,,
