Character,Kangxi Radical Character,Unicode (hex),Unicode (dec),Kangxi Radical Index,Kangxi Stroke
㚇,⼢,U+3687,13959,35,6
㨖,⼿,U+3A16,14870,64,9
㫚,⽇,U+3ADA,15066,72,4
㬹,⾁,U+3B39,15161,130,8
䂑,⽮,U+4091,16529,111,5
䍇,⽸,U+4347,17223,121,5
䧹,⾫,U+49F9,18937,172,5
䳭,⿃,U+4CED,19693,196,9
䵠,⿊,U+4D60,19808,203,3
一,⼀,U+4E00,19968,1,0
丁,⼀,U+4E01,19969,1,1
丂,⼀,U+4E02,19970,1,1
七,⼀,U+4E03,19971,1,1
丄,⼀,U+4E04,19972,1,1
丅,⼀,U+4E05,19973,1,1
丆,⼀,U+4E06,19974,1,1
万,⼀,U+4E07,19975,1,2
丈,⼀,U+4E08,19976,1,2
三,⼀,U+4E09,19977,1,2
上,⼀,U+4E0A,19978,1,2
下,⼀,U+4E0B,19979,1,2
丌,⼀,U+4E0C,19980,1,2
不,⼀,U+4E0D,19981,1,3
与,⼀,U+4E0E,19982,1,3
丏,⼀,U+4E0F,19983,1,3
丐,⼀,U+4E10,19984,1,3
丑,⼀,U+4E11,19985,1,3
丒,⼀,U+4E12,19986,1,3
专,⼀,U+4E13,19987,1,3
且,⼀,U+4E14,19988,1,4
丕,⼀,U+4E15,19989,1,4
世,⼀,U+4E16,19990,1,4
丗,⼀,U+4E17,19991,1,3
丘,⼀,U+4E18,19992,1,4
丙,⼀,U+4E19,19993,1,4
业,⼀,U+4E1A,19994,1,4
丛,⼀,U+4E1B,19995,1,4
东,⼀,U+4E1C,19996,1,4
丝,⼀,U+4E1D,19997,1,4
丞,⼀,U+4E1E,19998,1,5
丟,⼀,U+4E1F,19999,1,5
両,⼀,U+4E21,20001,1,5
丢,⼀,U+4E22,20002,1,5
丣,⼀,U+4E23,20003,1,6
两,⼀,U+4E24,20004,1,6
严,⼀,U+4E25,20005,1,6
並,⼀,U+4E26,20006,1,7
丧,⼗,U+4E27,20007,24,6
丨,⼁,U+4E28,20008,2,0
个,⼁,U+4E2A,20010,2,2
丫,⼁,U+4E2B,20011,2,2
丬,⽙,U+4E2C,20012,90,0
中,⼁,U+4E2D,20013,2,3
丮,⼁,U+4E2E,20014,2,3
丯,⼁,U+4E2F,20015,2,3
丰,⼁,U+4E30,20016,2,3
丱,⼁,U+4E31,20017,2,4
串,⼁,U+4E32,20018,2,6
丳,⼁,U+4E33,20019,2,7
临,⼁,U+4E34,20020,2,8
丵,⼁,U+4E35,20021,2,9
丶,⼂,U+4E36,20022,3,0
丷,⼂,U+4E37,20023,3,1
丸,⼂,U+4E38,20024,3,2
丹,⼂,U+4E39,20025,3,3
为,⼂,U+4E3A,20026,3,3
主,⼂,U+4E3B,20027,3,4
丼,⼂,U+4E3C,20028,3,4
丽,⼂,U+4E3D,20029,3,7
举,⼂,U+4E3E,20030,3,8
丿,⼃,U+4E3F,20031,4,0
乀,⼃,U+4E40,20032,4,0
乁,⼃,U+4E41,20033,4,0
乂,⼃,U+4E42,20034,4,1
乃,⼃,U+4E43,20035,4,1
乄,⼃,U+4E44,20036,4,1
久,⼃,U+4E45,20037,4,2
乇,⼃,U+4E47,20039,4,2
么,⼃,U+4E48,20040,4,2
义,⼃,U+4E49,20041,4,2
乊,⼃,U+4E4A,20042,4,2
之,⼃,U+4E4B,20043,4,3
乌,⼃,U+4E4C,20044,4,3
乍,⼃,U+4E4D,20045,4,4
乎,⼃,U+4E4E,20046,4,4
乏,⼃,U+4E4F,20047,4,4
乐,⼃,U+4E50,20048,4,4
乑,⼃,U+4E51,20049,4,5
乒,⼃,U+4E52,20050,4,5
乓,⼃,U+4E53,20051,4,5
乔,⼤,U+4E54,20052,37,3
乕,⼃,U+4E55,20053,4,6
乖,⼃,U+4E56,20054,4,7
乗,⼃,U+4E57,20055,4,8
乘,⼃,U+4E58,20056,4,9
乙,⼄,U+4E59,20057,5,0
乚,⼄,U+4E5A,20058,5,0
